"Antwort ID.. ","Datum Abgeschic.. ","Letzte Seite.. ","Start-Sprache.. ","Datum gestartet.. ","Datum letzte Ak.. ","Halten Sie die .. [SQ001]","Halten Sie die .. [SQ002]","Halten Sie die .. [SQ003]","Halten Sie die .. [SQ004]","Halten Sie die .. [SQ005]","Fehlt Ihrer Mei.. ","Welche Software.. [SQ001]","Welche Software.. [SQ002]","Welche Software.. [SQ003]","Welche Software.. [SQ004]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Welche Software.. [SQ001]","Welche Software.. [SQ002]","Welche Software.. [SQ003]","Welche Software.. [SQ004]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Welche Funktion.. ","Welche Funktion.. ","Welche fehlende.. ","Wo recherchiere.. [SQ001]","Wo recherchiere.. [SQ002]","Wo recherchiere.. [SQ003]","Wo recherchiere.. [SQ004]","Wo recherchiere.. [other]","Welche Software.. [SQ001]","Welche Software.. [SQ002]","Welche Software.. [SQ003]","Welche Software.. [SQ004]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Welche Funktion.. ","Welche Funktion.. ","Welche fehlende.. ","Welche Software.. [SQ001]","Welche Software.. [SQ002]","Welche Software.. [SQ003]","Welche Software.. [SQ004]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Welche Funktion.. ","Welche Funktion.. ","Welche fehlende.. ","Welche Software.. [SQ001]","Welche Software.. [SQ002]","Welche Software.. [SQ003]","Welche Software.. [SQ004]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Welche Funktion.. ","Welche Funktion.. ","Welche fehlende.. ","In welcher Form.. [SQ001]","In welcher Form.. [SQ002]","In welcher Form.. [SQ003]","In welcher Form.. [SQ004]","Wie publizieren.. [SQ001]","Wie publizieren.. [SQ002]","Wie publizieren.. [other]","Über welche Ka.. [SQ003]","Über welche Ka.. [SQ004]","Über welche Ka.. [SQ005]","Über welche Ka.. [SQ006]","Über welche Ka.. [other]","Welche Software.. [SQ001]","Welche Software.. [SQ002]","Welche Software.. [SQ003]","Welche Software.. [SQ004]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Bewerten Sie So.. [SQ001]","Bewerten Sie So.. [SQ002]","Bewerten Sie So.. [SQ003]","Bewerten Sie So.. [SQ004]","Bewerten Sie So.. [SQ005]","Bewerten Sie So.. [SQ006]","Welche Funktion.. ","Welche Funktion.. ","Welche fehlende.. ","Mit wem besprec.. [1]","Mit wem besprec.. [2]","Mit wem besprec.. [3]","Mit wem besprec.. [4]","Mit wem besprec.. [5]","Mit wem besprec.. [6]","Mit wem besprec.. [other]","Wie stellen Sie.. [SQ001]","Wie stellen Sie.. [SQ002]","Wie stellen Sie.. [SQ003]","Wie stellen Sie.. [SQ004]","Wie stellen Sie.. [other]","Welche Form der.. [SQ001]","Welche Form der.. [SQ002]","Welche Form der.. [SQ003]","Welche Form der.. [SQ004]","Welche Form der.. [SQ005]","Welche Form der.. [other]","Wo legen Sie (Z.. [1]","Wo legen Sie (Z.. [2]","Wo legen Sie (Z.. [3]","Wo legen Sie (Z.. [4]","Wo legen Sie (Z.. [5]","Wo legen Sie (Z.. [6]","Wo legen Sie (Z.. [other]","Welche Geräte .. [SQ001]","Welche Geräte .. [SQ001]","Welche Geräte .. [SQ002]","Welche Geräte .. [SQ002]","Welche Geräte .. [SQ003]","Welche Geräte .. [SQ003]","Welche Geräte .. [SQ004]","Welche Geräte .. [SQ004]","Welche Geräte .. [SQ005]","Welche Geräte .. [SQ005]","In welcher Disz.. [SQ001]","In welcher Disz.. [SQ002]","In welcher Disz.. [SQ003]","In welcher Disz.. [SQ004]","In welcher Disz.. [SQ005]","In welcher Disz.. [SQ006]","In welcher Disz.. [SQ007]","In welcher Disz.. [SQ008]","In welcher Disz.. [SQ009]","In welcher Disz.. [SQ010]","In welcher Disz.. [SQ011]","In welcher Disz.. [SQ012]","In welcher Disz.. [SQ013]","In welcher Disz.. [SQ014]","In welcher Disz.. [SQ015]","In welcher Disz.. [other]","Wie lange sind .. ","Ich bin derzeit.. [SQ001]","Ich bin derzeit.. [SQ002]","Ich bin derzeit.. [SQ003]","Ich bin derzeit.. [SQ004]","Ich bin derzeit.. [SQ005]","Ich bin derzeit.. [SQ007]","Ich bin derzeit.. [other]","Wo arbeiten Sie.. [SQ001]","Wo arbeiten Sie.. [SQ002]","Wo arbeiten Sie.. [SQ003]","Wo arbeiten Sie.. [SQ004]","Wo arbeiten Sie.. [SQ005]","Wo arbeiten Sie.. [SQ006]","Wo arbeiten Sie.. [SQ007]","Wo arbeiten Sie.. [other]","Wie sind Sie au.. ","Gesamtzeit.. ","Gruppenzeit: Fo.. ","Fragenzeit: anf.. ","Fragenzeit: anf.. ","Fragenzeit: Anf.. ","Fragenzeit: anf.. ","Fragenzeit: anf.. ","Fragenzeit: anf.. ","Fragenzeit: anf.. ","Gruppenzeit: Pl.. ","Fragenzeit: kon.. ","Fragenzeit: kon.. ","Fragenzeit: kon.. ","Fragenzeit: kon.. ","Fragenzeit: kon.. ","Fragenzeit: kon.. ","Fragenzeit: kon.. ","Fragenzeit: kon.. ","Gruppenzeit: Re.. ","Fragenzeit: rec.. ","Fragenzeit: rec.. ","Fragenzeit: rec.. ","Fragenzeit: rec.. ","Fragenzeit: rec.. ","Fragenzeit: rec.. ","Fragenzeit: rec.. ","Fragenzeit: rec.. ","Fragenzeit: rec.. ","Gruppenzeit: Ü.. ","Fragenzeit: kon.. ","Fragenzeit: kon.. ","Fragenzeit: kon.. ","Fragenzeit: kon.. ","Fragenzeit: kon.. ","Fragenzeit: kon.. ","Fragenzeit: kon.. ","Fragenzeit: kon.. ","Gruppenzeit: An.. ","Fragenzeit: aai.. ","Fragenzeit: aai.. ","Fragenzeit: aai.. ","Fragenzeit: aai.. ","Fragenzeit: aai.. ","Fragenzeit: aai.. ","Fragenzeit: aai.. ","Fragenzeit: aai.. ","Gruppenzeit: Pu.. ","Fragenzeit: Pub.. ","Fragenzeit: pub.. ","Fragenzeit: Pub.. ","Fragenzeit: Pub.. ","Fragenzeit: Pub.. ","Fragenzeit: Pub.. ","Fragenzeit: Pub.. ","Fragenzeit: Pub.. ","Fragenzeit: pub.. ","Fragenzeit: pub.. ","Fragenzeit: pub.. ","Gruppenzeit: Ph.. ","Fragenzeit: pha.. ","Fragenzeit: pha.. ","Fragenzeit: pha.. ","Fragenzeit: pha.. ","Fragenzeit: pha.. ","Gruppenzeit: Al.. ","Fragenzeit: all.. ","Fragenzeit: all.. ","Fragenzeit: all.. ","Fragenzeit: all.. ","Fragenzeit: all.. "
"1","","","de","2015-02-17 11:11:51","2015-02-17 11:11:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","","","de","2015-02-20 15:36:23","2015-02-20 15:36:23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","2015-02-20 17:01:50","8","de","2015-02-20 16:36:56","2015-02-20 17:01:50","Ja","Ja","Ja","Ja","Unsicher","","","","","","eher positiv","positiv","positiv","","","","","","","","","","","","","","","","","","","","","","Focuswriter","","","","positiv","eher positiv","positiv","weiß nicht / trifft nicht zu","positiv","positiv","","","","","","","","","","","","","","","","","","","Reduziertheit","Interoperabilität/Dateiformate","pdf-Export","Ja","Ja","Ja","Ja","eigene Suchmaschine","yacy","citavi","regain","","eher positiv","positiv","weiß nicht / trifft nicht zu","weiß nicht / trifft nicht zu","positiv","positiv","positiv","positiv","eher negativ","weiß nicht / trifft nicht zu","eher positiv","eher positiv","positiv","positiv","positiv","weiß nicht / trifft nicht zu","positiv","eher negativ","","","","","","","Geschwindigkeit und Konfigurierbarkeit der Suichergebnisse bei regain&yacy","Exportmöglichkeiten aus Citavi, 
","offenere Dokumentation und Exportmöglichkeiten bei Citavi","Focuswriter","","","","","","","","","","","","","","","","","","","","","","","","","","","","wie Phase 1","wie Phase 1","wie Phase 1","Textgrid","Copyxml Editor","Oxygen XML Editor","","eher negativ","eher positiv","positiv","weiß nicht / trifft nicht zu","eher positiv","eher negativ","eher positiv","eher negativ","positiv","weiß nicht / trifft nicht zu","positiv","eher negativ","eher negativ","positiv","eher negativ","weiß nicht / trifft nicht zu","positiv","eher positiv","","","","","","","offene Formate, Exportmöglichkeiten, Interoperabilität zwischen Linux&Windows","Dokumentation, Hilfefunktionen","Grundsätzlich bessere und ausführliche Dokumentation.","","","","","Ja","Ja","","Ja","Ja","Nein","Ja","","Lyx/Tex","Word (weil man muss)","","","positiv","positiv","positiv","weiß nicht / trifft nicht zu","positiv","eher negativ","negativ","eher positiv","eher negativ","positiv","eher negativ","negativ","","","","","","","","","","","","","Übersichtlichkeit (Lyx), Optik des Ergebnisses (Lyx)","Benutzergängelung (Word), Optik des Ergebnisses (Word), Interoperabilität (Word)","Dokumentation","Nein","Ja","Ja","Ja","Ja","Nein","","Ja","Nein","Ja","Ja","","Ja","Nein","Ja","Ja","Nein","","Nein","Ja","Nein","Ja","Nein","Nein","eigene cloud","PC","Tablet","PC","","PC","Tablet","PC","","PC","","Nein","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Ja","Nein","Nein","Nein","Nein","","Zwischen 5 und 10 Jahre","Nein","Ja","Nein","Ja","Nein","Nein","","Ja","Nein","Nein","Nein","Nein","Nein","Nein","","DHd-Blog","1493.38","204.71","","","","","","","","154.36","","","","","","","","","275","","","","","","","","","","43.94","","","","","","","","","209.59","","","","","","","","","256.39","","","","","","","","","","","","155.74","","","","","","193.65","","","","",""
"6","","","de","2015-02-20 16:54:59","2015-02-20 16:54:59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","","2","de","2015-02-20 17:42:39","2015-02-20 17:45:09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","148.6","113.51","","","","","","","","35.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","","","de","2015-02-20 18:43:14","2015-02-20 18:43:14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","","4","de","2015-02-20 20:42:18","2015-02-20 20:43:36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nein","Nein","Nein","Nein","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","75.77","23.45","","","","","","","","16.25","","","","","","","","","15.22","","","","","","","","","","20.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","2015-02-20 22:08:16","8","de","2015-02-20 21:27:36","2015-02-20 22:08:16","Ja","Ja","Ja","Ja","Ja","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MS Word","MS OneNote","Chrome","","positiv","positiv","positiv","positiv","positiv","eher negativ","positiv","positiv","positiv","weiß nicht / trifft nicht zu","positiv","eher negativ","positiv","positiv","positiv","weiß nicht / trifft nicht zu","positiv","weiß nicht / trifft nicht zu","","","","","","","Einfache Nutzbarkeit für Vorrecherchen; offene Strukturen in OneNote bzw. Möglichkeiten, neue Zusammenhänge ohne großen Aufwand herzustellen, Informationen schnell und hierarchisch zu organisieren; fremde, benachbarte Projekte systematisch zu sammeln etc.","Titelaufnahmen sollten optimalerweise von Beginn an zielgerichtet erfolgen, mit Verschlagwortung etc. - obwohl evtl. das Forshcungsdesign, Schwerpunkte etc. noch nicht klar sind.","Für die Konzeption ist als ergebnisoffenen Prozess sind für mich zu stark spezialisierte Funktionalitäten noch nicht sinnvoll. Deshalb: es fehlt nichts.","Ja","Ja","Ja","Nein","Archive","citavi","Zettelkasten","MS OneNote","","positiv","positiv","positiv","weiß nicht / trifft nicht zu","positiv","positiv","positiv","eher positiv","positiv","weiß nicht / trifft nicht zu","positiv","eher positiv","","","","","","","","","","","","","Zettelkasten: einfach zu bedienende, auch auf kleineren Notebooks etc. nutzbare (weil ohne umfangreiche Programmdateien) Datenbank; flexibel nutzbar - ohne zu Detaillierte Erfassungsmaske, was das schnelle Arbeiten im Archiv erleichtert. Die Suchfunktionen aber auch die Schreibtischfunktion zur Organisation von Informationen im Schreibprozess sind schnell und effizient. Citavi nutze ich einzig zur Erfassung bibliograph. Daten und Zitation im Manuskript bzw. zur Hinterlegung von Scans etc. aus Literatur. ","Die Einbindung von Dateien in Zettelkasten ist wenig elegant, schnelles Arbeiten z.B. durch Drag and Drop wird erschwert. Für weitergehende Arbeit ist citavi zu schwerfällig: die Aufnahme einzelner Belegstellen (die dann ggf. Gliederungspunkten zugeordnet werden könnten), ist zu arbeitsaufwändig - man müsste Informationen zu stark fragmentieren, um das zu nutzen. Die Kopplung mit einem Gliederungsentwurf macht wenig Sinn - dafür ändern sich Gliederung und Argumentation im historischen Forschungsprozess zu stark. Insg. ist das Programm zu ""groß"", auf kleineren Geräten nicht sinnvoll nutzbar (sowohl was Rechenleistung als auch Bildschirm betrifft).","WYSIWYG bei Zettelkasten, oder zumindest Tastaturkombinationen, analog zu Word. Citavi: einfachere MÖglichkeit für Formatierungen und Sonderzeichen.","Zettelkasten","citavi","MS Word","","","","","","","","","","","","","","","","","","","","","","","","","","wie vorige Phase, v.a. was die Möglichkeit zur Organisation von Wissen auf ""Schreibtischen"" in Zettelkasten betrifft.","","","citavi","Zettelkasten","Ms Word","","","","","","","","","","","","","","","","","","","","","","","","","","effektive Integration von Citavi in MS Word. ","","","Publiziere ich vorwiegend","Würde ich gern noch mehr publizieren","","","Nein","Ja","","Ja","Ja","Nein","Ja","","MS Word","Adobe Acrobat","","","","","","","","","positiv","positiv","positiv","weiß nicht / trifft nicht zu","positiv","eher negativ","","","","","","","","","","","","","","Probleme mit der Anpassung von Zitationsstilen oder nachträglichen größeren Änderungen an einem (längeren) Manuskript, nachdem die citavi-Zitation einmal im passenden Zitationsstil in Word umgesetzt wurde. Alle weiteren Änderungen müssen händisch vorgenommen werden bzw. nachgetragen werden.","Verlässliche Zitationsstile wichtiger deutscher Fachzeitschriften sind eine Seltenheiten. Vieles muss man selbst anpassen.","Nein","Ja","Nein","Ja","Ja","Ja","","Ja","Nein","Ja","Nein","","Nein","Nein","Nein","Ja","Nein","","Nein","Nein","Nein","Nein","Ja","Nein","","PC","","Laptop","","PC","","PC","","PC","","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","Zwischen 10 und 20 Jahre","Nein","Ja","Ja","Nein","Nein","Nein","","Ja","Nein","Nein","Nein","Nein","Nein","Nein","","DHd-Blog","2439.07","148.94","","","","","","","","444.73","","","","","","","","","1104.78","","","","","","","","","","253.76","","","","","","","","","66.1","","","","","","","","","271.6","","","","","","","","","","","","98.01","","","","","","51.15","","","","",""
"11","","","de","2015-02-20 21:49:00","2015-02-20 21:49:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","","","de","2015-02-21 00:01:52","2015-02-21 00:01:52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
